bbref_name,bbref_id,nba_name,nba_id
Rui Hachimura,hachiru01,Rui Hachimura,1629060
Tyrese Haliburton,halibty01,Tyrese Haliburton,1630169
Jordan Hall,halljo02,Jordan Hall,1631160
R.J. Hampton,hamptrj01,R.J. Hampton,1630181
Tim Hardaway Jr.,hardati02,Tim Hardaway Jr.,203501
James Harden,hardeja01,James Harden,201935
Jaden Hardy,hardyja02,Jaden Hardy,1630702
Ron Harper Jr.,harpero02,Ron Harper Jr.,1631199
Montrezl Harrell,harremo01,Montrezl Harrell,1626149
Gary Harris,harriga01,Gary Harris,203914
Joe Harris,harrijo01,Joe Harris,203925
Kevon Harris,harrike01,Kevon Harris,1630284
Shaquille Harrison,harrish01,Shaquille Harrison,1627885
Tobias Harris,harrito02,Tobias Harris,202699
Isaiah Hartenstein,harteis01,Isaiah Hartenstein,1628392
Josh Hart,hartjo01,Josh Hart,1628404
Udonis Haslem,hasleud01,Udonis Haslem,2617
Sam Hauser,hausesa01,Sam Hauser,1630573
Jaxson Hayes,hayesja02,Jaxson Hayes,1629637
Killian Hayes,hayeski01,Killian Hayes,1630165
Gordon Hayward,haywago01,Gordon Hayward,202330
Tyler Herro,herroty01,Tyler Herro,1629639
Buddy Hield,hieldbu01,Buddy Hield,1627741
Haywood Highsmith,highsha01,Haywood Highsmith,1629312
George Hill,hillge01,George Hill,201588
Malcolm Hill,hillma01,Malcolm Hill,1630792
Aaron Holiday,holidaa01,Aaron Holiday,1628988
Jrue Holiday,holidjr01,Jrue Holiday,201950
Justin Holiday,holidju01,Justin Holiday,203200
Richaun Holmes,holmeri01,Richaun Holmes,1626158
Al Horford,horfoal01,Al Horford,201143
Talen Horton-Tucker,hortota01,Talen Horton-Tucker,1629659
Danuel House Jr.,houseda01,Danuel House Jr.,1627863
Caleb Houstan,houstca01,Caleb Houstan,1631216
Trevor Hudgins,hudgitr01,Trevor Hudgins,1631309
Kevin Huerter,huertke01,Kevin Huerter,1628989
Jay Huff,huffja01,Jay Huff,1630643
De'Andre Hunter,huntede01,De'Andre Hunter,1629631
Bones Hyland,hylanbo01,Bones Hyland,1630538
Serge Ibaka,ibakase01,Serge Ibaka,201586
Andre Iguodala,iguodan01,Andre Iguodala,2738
Joe Ingles,inglejo01,Joe Ingles,204060
Brandon Ingram,ingrabr01,Brandon Ingram,1627742
Kyrie Irving,irvinky01,Kyrie Irving,202681
Jonathan Isaac,isaacjo01,Jonathan Isaac,1628371
Jaden Ivey,iveyja01,Jaden Ivey,1631093
Frank Jackson,jacksfr01,Frank Jackson,1628402
Isaiah Jackson,jacksis01,Isaiah Jackson,1630543
Jaren Jackson Jr.,jacksja02,Jaren Jackson Jr.,1628991
Justin Jackson,jacksju01,Justin Jackson,1628382
Quenton Jackson,jacksqu01,Quenton Jackson,1631245
Reggie Jackson,jacksre01,Reggie Jackson,202704
LeBron James,jamesle01,LeBron James,2544
Ty Jerome,jeromty01,Ty Jerome,1629660
Isaiah Joe,joeis01,Isaiah Joe,1630198
Alize Johnson,johnsal02,Alize Johnson,1628993
Cameron Johnson,johnsca02,Cameron Johnson,1629661
James Johnson,johnsja01,James Johnson,201949
Jalen Johnson,johnsja05,Jalen Johnson,1630552
Keldon Johnson,johnske04,Keldon Johnson,1629640
Keon Johnson,johnske07,Keon Johnson,1630553
Stanley Johnson,johnsst04,Stanley Johnson,1626169
Carlik Jones,jonesca03,Carlik Jones,1630637
Damian Jones,jonesda03,Damian Jones,1627745
Derrick Jones Jr.,jonesde02,Derrick Jones Jr.,1627884
Herbert Jones,joneshe01,Herbert Jones,1630529
Kai Jones,joneska01,Kai Jones,1630539
Tre Jones,jonestr01,Tre Jones,1630200
Tyus Jones,jonesty01,Tyus Jones,1626145
DeAndre Jordan,jordade01,DeAndre Jordan,201599
Cory Joseph,josepco01,Cory Joseph,202709
Johnny Juzang,juzanjo01,Johnny Juzang,1630548
Mfiondu Kabengele,kabenmf01,Mfiondu Kabengele,1629662
Frank Kaminsky,kaminfr01,Frank Kaminsky,1626163
Trevor Keels,keelstr01,Trevor Keels,1631211
Luke Kennard,kennalu01,Luke Kennard,1628379
